_id,RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,Heure_de_l'extraction_(image),Mise_a_jour
1,01,Bas-Saint-Laurent,Total régional,Total régional,,52,32,0,0,72,26,9.46055045871559,4.18282229965156,9:27,4:10,2:00:00,2026-08-09T2:45
2,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,9,7,0,0,21,9,9.44,3.46,9:26,3:27,2:00:00,2026-08-09T2:45
3,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,7,2,0,0,6,0,6.75,2.68,6:45,2:40,2:00:00,2026-08-09T2:45
4,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,3,0,0,0,0,0,8.13,2.29,8:07,2:17,2:00:00,2026-08-09T2:45
5,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,7,1,0,0,2,1,12.47,3.37,12:28,3:22,2:00:00,2026-08-09T2:45
6,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,5,4,0,0,8,0,6.75,2.76,6:45,2:45,2:00:00,2026-08-09T2:45
7,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,6,0,0,0,1,1,8.78,4.2,8:46,4:12,2:00:00,2026-08-09T2:45
8,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,12,16,0,0,32,15,11.46,7.63,11:27,7:37,2:00:00,2026-08-09T2:45
9,01,Bas-Saint-Laurent,SANTÉ QUÉBEC BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,3,2,0,0,2,0,5.99,3.1,5:59,3:06,2:00:00,2026-08-09T2:45
10,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,104,62,2,0,136,74,11.9596610169491,5.62836565096952,11:57,5:37,2:00:00,2026-08-09T2:45
11,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL DE CHICOUTIMI,51218394,41,22,0,0,43,23,13.95,6.98,13:57,6:58,2:00:00,2026-08-09T2:45
12,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,10,4,0,0,7,1,6.12,3.07,6:07,3:04,2:00:00,2026-08-09T2:45
13,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL D'ALMA,51219400,17,8,0,0,31,19,7.28,6.39,7:16,6:23,2:00:00,2026-08-09T2:45
14,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL DE LA BAIE,51221364,7,5,0,0,14,7,9.55,5.71,9:33,5:42,2:00:00,2026-08-09T2:45
15,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,16,15,0,0,31,21,12.99,6.69,12:59,6:41,2:00:00,2026-08-09T2:45
16,02,Saguenay-Lac-Saint-Jean,SANTÉ QUÉBEC SAGUENAY - LAC-SAINT-JEAN - UNIVERSITAIRE,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,13,8,2,0,10,3,14.74,3.47,14:44,3:28,2:00:00,2026-08-09T2:45
17,03,Capitale-Nationale,Total régional,Total régional,,218,165,15,2,239,64,11.326871657754,4.09609625668449,11:19,4:05,2:00:00,2026-08-09T2:45
18,03,Capitale-Nationale,SANTÉ QUÉBEC - CENTRE HOSPITALIER UNIVERSITAIRE DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,22,11,1,0,18,4,14.27,4.95,14:16,4:57,2:00:00,2026-08-09T2:45
