_id,RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,Heure_de_l'extraction_(image),Mise_a_jour
1,01,Bas-Saint-Laurent,Total régional,Total régional,,52,50,3,0,120,58,9.82037974683544,3.57173913043478,9:49,3:34,15:00:00,2026-03-17T15:45
2,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,9,7,0,0,22,15,11.09,2.92,11:05,2:55,15:00:00,2026-03-17T15:45
3,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,7,10,1,0,20,14,9.92,3.97,9:55,3:58,15:00:00,2026-03-17T15:45
4,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,3,0,0,0,1,0,0,3.43,0:00,3:25,15:00:00,2026-03-17T15:45
5,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,7,4,0,0,15,10,8.03,4.09,8:01,4:05,15:00:00,2026-03-17T15:45
6,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,5,6,1,0,15,7,10.02,2.06,10:01,2:03,15:00:00,2026-03-17T15:45
7,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,6,3,0,0,7,0,4.39,2.28,4:23,2:16,15:00:00,2026-03-17T15:45
8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,12,17,1,0,34,11,11.07,5.35,11:04,5:21,15:00:00,2026-03-17T15:45
9,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,3,3,0,0,6,1,12.82,2.55,12:49,2:33,15:00:00,2026-03-17T15:45
10,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,104,80,12,1,198,102,11.5770833333333,4.05089337175792,11:34,4:03,15:00:00,2026-03-17T15:45
