_id,RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,Heure_de_l'extraction_(image),Mise_a_jour
1,01,Bas-Saint-Laurent,Total régional,Total régional,,52,31,1,0,66,17,8.98817307692307,3.96923611111111,8:59,3:58,09:00:00,2026-03-28T9:45
2,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,9,1,0,0,6,1,7.37,3,7:22,3:00,09:00:00,2026-03-28T9:45
3,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,7,6,1,0,10,1,7.87,5.88,7:52,5:52,09:00:00,2026-03-28T9:45
4,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,3,2,0,0,5,2,2.39,1.82,2:23,1:49,09:00:00,2026-03-28T9:45
5,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,7,3,0,0,4,0,8.25,4.8,8:15,4:48,09:00:00,2026-03-28T9:45
6,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,5,2,0,0,5,2,7.31,3.48,7:18,3:28,09:00:00,2026-03-28T9:45
7,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,6,4,0,0,15,7,5.26,3.75,5:15,3:45,09:00:00,2026-03-28T9:45
8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,12,12,0,0,19,3,13.19,5.27,13:11,5:16,09:00:00,2026-03-28T9:45
9,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,3,1,0,0,2,1,9.26,2.04,9:15,2:02,09:00:00,2026-03-28T9:45
10,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,104,70,3,0,125,26,11.8363190184049,4.76202816901408,11:50,4:45,09:00:00,2026-03-28T9:45
11,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,41,31,0,0,42,3,12.13,3.99,12:07,3:59,09:00:00,2026-03-28T9:45
12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,10,9,1,0,22,6,20.13,4.08,20:07,4:04,09:00:00,2026-03-28T9:45
13,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,17,6,0,0,23,5,12.06,6.21,12:03,6:12,09:00:00,2026-03-28T9:45
14,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,7,0,0,0,4,2,7.39,4.18,7:23,4:10,09:00:00,2026-03-28T9:45
15,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,16,11,0,0,19,7,10.84,6.12,10:50,6:07,09:00:00,2026-03-28T9:45
16,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,13,13,2,0,15,3,13.08,3.82,13:04,3:49,09:00:00,2026-03-28T9:45
17,03,Capitale-Nationale,Total régional,Total régional,,218,186,15,3,287,54,15.6205673758865,3.79886301369863,15:37,3:47,09:00:00,2026-03-28T9:45
18,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,22,21,0,0,28,4,15.82,4.1,15:49,4:06,09:00:00,2026-03-28T9:45
19,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,L'HÔTEL-DIEU DE QUÉBEC,51217586,15,13,2,0,19,4,13.04,4.09,13:02,4:05,09:00:00,2026-03-28T9:45
20,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,51217594,43,36,4,2,57,15,12.87,4.37,12:52,4:22,09:00:00,2026-03-28T9:45
21,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL SAINT-FRANÇOIS D'ASSISE,51217602,34,33,3,0,45,5,20.57,4.02,20:34,4:01,09:00:00,2026-03-28T9:45
22,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,51225001,5,1,0,0,22,8,4.15,2.63,4:09,2:37,09:00:00,2026-03-28T9:45
23,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ,51225357,4,1,0,0,3,2,8.67,2.74,8:40,2:44,09:00:00,2026-03-28T9:45
24,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,HÔPITAL ET CLSC DE LA MALBAIE,51228690,9,3,0,0,12,6,11.39,3.84,11:23,3:50,09:00:00,2026-03-28T9:45
25,03,Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC,51232130,20,26,2,0,33,6,13.53,4.2,13:31,4:12,09:00:00,2026-03-28T9:45
26,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DE L'ENFANT-JÉSUS,51233914,48,45,4,1,55,2,20.01,4.48,20:00,4:28,09:00:00,2026-03-28T9:45
27,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL,51244804,8,3,0,0,5,2,13.34,4.47,13:20,4:28,09:00:00,2026-03-28T9:45
28,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND,51247302,7,2,0,0,4,0,11.16,4.13,11:09,4:07,09:00:00,2026-03-28T9:45
29,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-MARC-DES-CARRIÈRES,51247344,3,2,0,0,4,0,11.23,1.83,11:13,1:49,09:00:00,2026-03-28T9:45
30,04,Mauricie et Centre-du-Québec,Total régional,Total régional,,118,150,22,10,238,75,12.4781355932203,4.742969837587,12:28,4:44,09:00:00,2026-03-28T9:45
31,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORTIERVILLE,51219160,2,0,0,0,0,0,3.57,1.63,3:34,1:37,09:00:00,2026-03-28T9:45
32,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU HAUT-SAINT-MAURICE,51219731,7,3,0,0,4,0,9.91,3.42,9:54,3:25,09:00:00,2026-03-28T9:45
